hsa-let-7f-2	kidney cancer	up-regulated	microarray	2007	Micro-RNA profiling in kidney and bladder cancers.
hsa-miR-372	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-372	testicular germ cell tumor	up-regulated	microarray	2007	High-throughput microRNAome analysis in human germ cell tumours.
hsa-miR-373	breast cancer	up-regulated	Northern blot, qRT-PCR etc	2008	The microRNAs miR-373 and miR-520c promote tumour invasion and metastasis.
hsa-miR-373	testicular germ cell tumor	up-regulated	Northern blot, qRT-PCR etc	2006	A genetic screen implicates miRNA-372 and miRNA-373 as oncogenes in testicular germ cell tumors.
hsa-miR-182	prostate cancer	up-regulated	northern blot, qRT-PCR etc	2009	Diagnostic and prognostic implications of microRNA profiling in prostate carcinoma.
hsa-miR-182*	prostate cancer	up-regulated	northern blot, qRT-PCR etc	2009	Diagnostic and prognostic implications of microRNA profiling in prostate carcinoma.
hsa-miR-183	lung cancer	up-regulated	microarray	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-183	prostate cancer	up-regulated	northern blot, qRT-PCR etc	2009	Diagnostic and prognostic implications of microRNA profiling in prostate carcinoma.
hsa-miR-184	prostate cancer	down-regulated	northern blot, qRT-PCR etc	2009	Diagnostic and prognostic implications of microRNA profiling in prostate carcinoma.
hsa-miR-206	rhabdomyosarcoma	down-regulated	northern blot, qRT-PCR etc	2009	MicroRNA-1/206 targets c-Met and inhibits rhabdomyosarcoma development.
hsa-miR-206	rhabdomyosarcoma	down-regulated	northern blot, qRT-PCR etc	2009	The muscle-specific microRNA miR-206 blocks human rhabdomyosarcoma growth in
xenotransplanted mice by promoting myogenic differentiation.
hsa-miR-208	myocardial injury	up-regulated	northern blot, qRT-PCR etc	2009	Plasma miR-208 as a Biomarker of Myocardial Injury.
hsa-miR-20a	kidney cancer	up-regulated	microarray	2009	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
hsa-miR-20a	lung cancer	up-regulated	northern blot, qRT-PCR etc	2009	Counterbalance between RB inactivation and miR-17-92 overexpression in reactive oxygen species and DNA damage induction in lung cancers.
hsa-miR-20b	kidney cancer	up-regulated	microarray	2009	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
hsa-miR-21	kidney cancer	up-regulated	microarray	2009	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
hsa-miR-21	myocardial infarction	down-regulated	northern blot, qRT-PCR etc	2009	MicroRNA expression signature and the role of microRNA-21 in the early phase of acute myocardial infarction.
hsa-miR-21	hepatocellular carcinoma (HCC)	up-regulated	northern blot, qRT-PCR etc	2009	Role of microRNA-155 at early stages of hepatocarcinogenesis induced by choline-deficient and amino acid-defined diet in C57BL/6 mice.
hsa-miR-21	lung cancer	up-regulated	microarray	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-21	cervical cancer	up-regulated	northern blot, qRT-PCR etc	2009	MicroRNA-21 promotes cell proliferation and down-regulates the expression of programmed cell death 4 (PDCD4) in HeLa cervical carcinoma cells.
hsa-miR-21	cholesteatoma	up-regulated	northern blot, qRT-PCR etc	2009	Cholesteatoma Growth and Proliferation: Posttranscriptional Regulation by MicroRNA-21.
hsa-miR-21	lung cancer	up-regulated	northern blot, qRT-PCR etc	2009	MiR-21 is an EGFR-regulated anti-apoptotic factor in lung cancer in never-smokers.
hsa-miR-210	pancreatic cancer	up-regulated	northern blot, qRT-PCR etc	2009	Elevated expression of microRNAs 155, 203, 210 and 222 in pancreatic tumours associates with poorer survival.
hsa-miR-210	lung cancer	up-regulated	microarray	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-210	kidney cancer	up-regulated	microarray	2009	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
hsa-miR-214	kidney cancer	down-regulated	microarray	2009	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
hsa-miR-218	lung cancer	down-regulated	microarray	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-22	lung cancer	down-regulated	microarray	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-221	prostate cancer	down-regulated	northern blot, qRT-PCR etc	2009	Diagnostic and prognostic implications of microRNA profiling in prostate carcinoma.
hsa-miR-221	hepatocellular carcinoma (HCC)	up-regulated	northern blot, qRT-PCR etc	2009	Role of microRNA-155 at early stages of hepatocarcinogenesis induced by choline-deficient and amino acid-defined diet in C57BL/6 mice.
hsa-miR-221	prostate cancer	down-regulated	northern blot, qRT-PCR etc	2009	Expression of microRNA-221 is progressively reduced in aggressive prostate cancer and metastasis and predicts clinical recurrence.
hsa-miR-221	hepatocellular carcinoma (HCC)	up-regulated	northern blot, qRT-PCR etc	2009	MicroRNA-221 targets Bmf in hepatocellular carcinoma and correlates with tumor multifocality.
hsa-miR-222	pancreatic cancer	up-regulated	northern blot, qRT-PCR etc	2009	Elevated expression of microRNAs 155, 203, 210 and 222 in pancreatic tumours associates with poorer survival.
hsa-miR-222	hepatocellular carcinoma (HCC)	up-regulated	northern blot, qRT-PCR etc	2009	Role of microRNA-155 at early stages of hepatocarcinogenesis induced by choline-deficient and amino acid-defined diet in C57BL/6 mice.
hsa-miR-222	prostate cancer	down-regulated	northern blot, qRT-PCR etc	2009	Diagnostic and prognostic implications of microRNA profiling in prostate carcinoma.
hsa-miR-223	chronic lymphocytic leukemia (CLL)	down-regulated	northern blot, qRT-PCR etc	2009	Karyotype specific microRNA signature in chronic lymphocytic leukemia.
hsa-miR-23a	cardiac hypertrophy	up-regulated	northern blot, qRT-PCR etc	2009	miR-23a functions downstream of NFATc3 to regulate cardiac hypertrophy.
hsa-miR-26a	kidney cancer	down-regulated	microarray	2009	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
hsa-miR-27a	breast cancer	up-regulated	northern blot, qRT-PCR etc	2009	Coordinate Regulation of FOXO1 by miR-27a, miR-96, and miR-182 in Breast Cancer Cells.
hsa-miR-27a	kidney cancer	up-regulated	microarray	2009	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
hsa-miR-29a	kidney cancer	up-regulated	microarray	2009	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
hsa-miR-29a	neuroblastoma (NB)	down-regulated	northern blot, qRT-PCR etc	2009	MicroRNA miR-29 modulates expression of immunoinhibitory molecule B7-H3: potential implications for immune based therapy of human solid tumors.
hsa-miR-29b	neuroblastoma (NB)	down-regulated	northern blot, qRT-PCR etc	2009	MicroRNA miR-29 modulates expression of immunoinhibitory molecule B7-H3: potential implications for immune based therapy of human solid tumors.
hsa-miR-29b	kidney cancer	up-regulated	microarray	2009	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
hsa-miR-34a	pancreatic cancer	down-regulated	northern blot, qRT-PCR etc	2009	MicroRNA miR-34 inhibits human pancreatic cancer tumor-initiating cells
hsa-miR-34b	pancreatic cancer	down-regulated	northern blot, qRT-PCR etc	2009	MicroRNA miR-34 inhibits human pancreatic cancer tumor-initiating cells
hsa-miR-34c	pancreatic cancer	down-regulated	northern blot, qRT-PCR etc	2009	MicroRNA miR-34 inhibits human pancreatic cancer tumor-initiating cells
hsa-miR-375	prostate cancer	up-regulated	northern blot, qRT-PCR etc	2009	Diagnostic and prognostic implications of microRNA profiling in prostate carcinoma.
hsa-miR-378	kidney cancer	down-regulated	microarray	2009	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
hsa-miR-423	lung cancer	up-regulated	microarray	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-424	kidney cancer	up-regulated	microarray	2009	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
hsa-miR-424	chronic lymphocytic leukemia (CLL)	down-regulated	northern blot, qRT-PCR etc	2009	miRNA deregulation by epigenetic silencing disrupts suppression of the oncogene PLAG1 in chronic lymphocytic leukemia.
hsa-miR-425-5p	lung cancer	up-regulated	microarray	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-451	lung cancer	down-regulated	microarray	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-489	kidney cancer	up-regulated	microarray	2009	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
hsa-miR-497	lung cancer	down-regulated	microarray	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-511	lung cancer	down-regulated	microarray	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-532-5p	kidney cancer	down-regulated	microarray	2009	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
hsa-miR-599	multiple sclerosis	up-regulated	microarray	2009	Differential micro RNA expression in PBMC from multiple sclerosis patients.
hsa-miR-661	breast cancer	down-regulated	northern blot, qRT-PCR etc	2009	MicroRNA-661, a c/EBPalpha target, inhibits metastatic tumor antigen 1 and regulates its functions.
hsa-miR-7	Parkinson's disease	down-regulated	northern blot, qRT-PCR etc	2009	Repression of alpha-synuclein expression and toxicity by microRNA-7.
hsa-miR-7	lung cancer	up-regulated	microarray	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-720	kidney cancer	down-regulated	microarray	2009	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
hsa-miR-107	non-small cell lung cancer (NSCLC)	down-regulated	northern blot, qRT-PCR etc	2009	MiR-107 and MiR-185 can induce cell cycle arrest in human non small cell lung cancer cell lines.
hsa-miR-107	chronic lymphocytic leukemia (CLL)	down-regulated	northern blot, qRT-PCR etc	2009	miRNA deregulation by epigenetic silencing disrupts suppression of the oncogene PLAG1 in chronic lymphocytic leukemia.
hsa-miR-107	schizophrenia	up-regulated	northern blot, qRT-PCR etc	2009	Schizophrenia is associated with an increase in cortical microRNA biogenesis.
hsa-miR-122	hepatocellular carcinoma (HCC)	down-regulated	northern blot, qRT-PCR etc	2009	Loss of miR-122 expression in liver cancer correlates with suppression of the
hepatic phenotype and gain of metastatic properties.
hsa-miR-122	hepatocellular carcinoma (HCC)	down-regulated	northern blot, qRT-PCR etc	2009	Role of microRNA-155 at early stages of hepatocarcinogenesis induced by choline-deficient and amino acid-defined diet in C57BL/6 mice.
hsa-miR-122	kidney cancer	up-regulated	microarray	2009	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
hsa-miR-125a	type 2 diabetes	up-regulated	microarray	2009	MicroRNA-125a is over-expressed in insulin target tissues in a spontaneous rat model of Type 2 Diabetes.
hsa-miR-125a-5p	lung cancer	down-regulated	northern blot, qRT-PCR etc	2009	Epidermal growth factor receptor-regulated miR-125a-5p - a metastatic inhibitor
of lung cancer.
hsa-miR-125b	prostate cancer	down-regulated	northern blot, qRT-PCR etc	2009	Diagnostic and prognostic implications of microRNA profiling in prostate carcinoma.
hsa-miR-122a	gastric cancer (stomach cancer)	down-regulated	northern blot, qRT-PCR etc	2009	MicroRNA-122a functions as a novel tumor suppressor downstream of adenomatous polyposis coli in gastrointestinal cancers.
hsa-miR-122a	hepatocellular carcinoma (HCC)	down-regulated	northern blot, qRT-PCR etc	2009	MiR-122/cyclin G1 interaction modulates p53 activity and affects doxorubicin sensitivity of human hepatocarcinoma cells.
hsa-miR-126	kidney cancer	up-regulated	microarray	2009	Differential expression profiling of microRNAs and their potential involvement in renal cell carcinoma pathogenesis.
hsa-miR-126	lung cancer	down-regulated	microarray	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-126*	lung cancer	down-regulated	microarray	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-128	neuroblastoma	down-regulated	northern blot, qRT-PCR etc	2009	MiR-128 up-regulation inhibits Reelin and DCX expression and reduces neuroblastoma cell motility and invasiveness.
hsa-miR-130a	lung cancer	down-regulated	microarray	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-133b	lung cancer	down-regulated	northern blot, qRT-PCR etc	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-135a	Hodgkin's lymphoma	down-regulated	northern blot, qRT-PCR etc	2009	Regulation of JAK2 by miR-135a: prognostic impact in classical Hodgkin lymphoma.
hsa-miR-139	lung cancer	down-regulated	microarray	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-141	lung cancer	up-regulated	microarray	2009	MicroRNA 133B targets pro-survival molecules MCL-1 and BCL2L2 in lung cancer.
hsa-miR-199a	Intrahepatic cholangiocarcinoma (ICC)	down-regulated	northern blot, qRT-PCR etc	2009	MicroRNA profiling of human intrahepatic cholangiocarcinoma cell lines reveals biliary epithelial cell-specific microRNAs
hsa-miR-199a*	Intrahepatic cholangiocarcinoma (ICC)	down-regulated	northern blot, qRT-PCR etc	2009	MicroRNA profiling of human intrahepatic cholangiocarcinoma cell lines reveals biliary epithelial cell-specific microRNAs
hsa-miR-214	Intrahepatic cholangiocarcinoma (ICC)	down-regulated	northern blot, qRT-PCR etc	2009	MicroRNA profiling of human intrahepatic cholangiocarcinoma cell lines reveals biliary epithelial cell-specific microRNAs
hsa-miR-22	Intrahepatic cholangiocarcinoma (ICC)	down-regulated	northern blot, qRT-PCR etc	2009	MicroRNA profiling of human intrahepatic cholangiocarcinoma cell lines reveals biliary epithelial cell-specific microRNAs
